eval_id,score,pass,chat
S01,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250918-202330/report/chat/S01.html
S02,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250918-202330/report/chat/S02.html
S03,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250918-202330/report/chat/S03.html
S04,85,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250918-202330/report/chat/S04.html
S05,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250918-202330/report/chat/S05.html
S06,92,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250918-202330/report/chat/S06.html
S07,94,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250918-202330/report/chat/S07.html
S08,76,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250918-202330/report/chat/S08.html
S09,96,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250918-202330/report/chat/S09.html
S10,100,True,file:///Users/aboubakrsaleh/Documents/GitHub/medicalpea/results/run_latest/20250918-202330/report/chat/S10.html
