eval_id,score,pass
S01,100,True
S02,95,True
S03,95,True
S04,100,True
S05,100,True
S06,0,False
S07,100,True
S08,90,True
S09,95,True
S10,100,True
S11,100,True
S12,90,True
S13,95,True
S14,100,True
S15,100,True
S16,100,True
S17,100,True
S18,95,True
S19,100,True
S20,100,True
S21,95,True
S22,60,False
S23,90,True
S24,100,True
S25,100,True
S26,100,True
S27,90,True
S28,90,True
S29,100,True
S30,100,True
S31,100,True
S32,90,True
S33,90,True
S34,100,True
S35,100,True
S36,100,True
S37,95,True
S38,90,True
S39,100,True
S40,100,True
S41,100,True
S42,100,True
S43,95,True
S44,100,True
S45,100,True
S46,100,True
S47,95,True
S48,100,True
S49,100,True
S50,100,True
